Job Role,Company,Job Type,Location,Experience,Salary per annual,Description,Key Skills,Posted on,Apply link
Analyst - Data Services,RF Managed Services,work from office,Chennai,2-4 Yrs,up to 300000,GraduatesPost Graduates in any stream Skill SetCompetencies Required Laterals wit...,Application support Automation Data conversion Managed services Data management MIS microsoft Macros,30+ Days Ago,https:www.naukri.comjob-listings-Analyst-Data-services-rf-managed-services-india-pvt-ltd-2-to-4-years-170622500447
Analyst Programmer- RPA,CreditAccess Grameen,work from office,Chennai,2-6 Yrs,up to 300000,Proven ability to bridge technology and Business goal to provideProductive solutions t...,Python Django power bi retail finance,7 Days Ago,https:www.naukri.comjob-listings-Analyst-programmer-rpa-creditaccess-grameen-2-to-6-years-231222004348
Analytical Executive,GVK Emergency Management and Research Institute (GVK EMRI),work from office,Chennai,4-7 Yrs,up to 300000,Experience working in a team setting and desire to take leadership s within a team ...,Excel Data Analysis SQL Server Data mining research analysis ,1 Day Ago,https:www.naukri.comjob-listings-analytical-executive-gvk-emergency-management-and-research-institute-gvk-emri-4-to-7-years-291222005336
Analytics Consultant,Chryselys,work from office,Chennai,2-5 Yrs,up to 300000,5 years of relevant post-collegiate job experience Bachelor s or master s degree requir...,IT Skills Data Science Cloud AWS Tableau Azure Data analysis Staffing,30+ Days Ago,https:www.naukri.comjob-listings-analytics-consultant-chryselys-gurgaon-gurugram-2-to-5-years-261022501646
Analytics Modeler - SAS Economics - Candidates with BAMA(Economics),Smartlyhr,work from office,Chennai,3-6 Yrs,up to 300000,Demand & Time Series forecasting modeling Salary NO BARCandidates with GOOD EXP IN...,Economic Research SAS,21 Days Ago,https:www.naukri.comjob-listings-analytics-modeler-sas-economics-candidates-with-ba-ma-economics-smartlyhr-delhi-ncr-3-to-6-years-210422002181
Associate,GiveIndia Foundation,work from office,Chennai,2-5 Yrs,up to 300000,A minimum 2-5 years experience in social sectorCSRimpact assessmentmonitoring ...,Administration Data analysis Publishing CSR Data management Report writing Data collection Data analytics,20 Days Ago,https:www.naukri.comjob-listings-associate-giveindia-foundation-hyderabad-secunderabad-2-to-5-years-091222500906
Associate Data Analyst - Services,Urjanet Energy Solutions,work from office,Chennai,0-2 Yrs,up to 300000,Should be proficient with Windows and MS office tools such as Excel Fresher graduates o...,X Data Excel MS office Data analysis Quality standards Associate Data Analyst Data modeling Data collection,30+ Days Ago,https:www.naukri.comjob-listings-associate-Data-Analyst-Data-Analyst-services-urjanet-0-to-2-years-300922500379
Associate State Reform,The Education Alliance,work from office,Chennai,0-1 Yrs,up to 300000,Graduates or those with 0-1 years of experience looking to advance their career in the ...,Data analysis Automation Interpersonal skills Excel Networking Project management Programming Data Analyst,30+ Days Ago,https:www.naukri.comjob-listings-associate-state-reform-the-education-alliance-0-to-1-years-121022501876
Business Analyst,RCPC,work from office,Chennai,1-3 Yrs,up to 300000,Understand analyze and validate the Business needs of customersDocument Business proce...,Business Analysis QA Data analysis documentation implementation ,15 Days Ago,https:www.naukri.comjob-listings-Business-Analyst-rcpc-1-to-3-years-151222909512
Business Strategy Analyst,Silres Energy Solutions,work from office,Chennai,0-4 Yrs,up to 300000,A bachelors degree in Businesscommerceeconomicsengineeringrelated field or an M...,project management secondary research Data analytics stakeholder management excel powerpoint program management cost benefit analysis project planning,9 Days Ago,https:www.naukri.comjob-listings-Business-strategy-Analyst-silres-energy-solutions-private-limited-mumbai-0-to-4-years-211222007590
Computer Operator,Tentrox Studios,work from office,Chennai,0-3 Yrs,up to 300000,"Have anyone told your face ""You are not a human""If it is tech do people turn to you?Are...",excel Advanced Excel Computer Skills Excel Macros Python Computer Savvy computer operating Typing,6 Days Ago,https:www.naukri.comjob-listings-computer-operator-tentrox-studios-0-to-3-years-241222005111
CP Analyst,Shell,work from office,Chennai,1-3 Yrs,up to 300000,May work in different shifts to cater to the different time zones of the stakeholders i...,ERP project management SAP project execution,1 Day Ago,https:www.naukri.comjob-listings-cp-Analyst-shell-india-markets-private-limited-1-to-3-years-291222903178
Data Analyst,iPro Games,work from office,Coimbatore,2-5 Yrs,up to 300000,Hands on experience in Redshift BigData Meta Base Python script ETL and MySQL is a ...,Data analysis ETL Data mining Python Data BigData Technologies mysql,11 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-ipro-games-coimbatore-2-to-5-years-161122007679
Data Analyst,Applycup Hiring Solutions Llp,work from office,Chennai,0-2 Yrs,up to 300000,GraduateEngineerPost-Graduate with a huge interest in handling numbers Freshers who...,Performance tuning Coding Artificial Intelligence Machine learning Data Analyst Data analytics Analyst 3 Statistics,4 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-applycup-hiring-solutions-llp-0-to-2-years-261222501141
Data Analyst,CaratLane,work from office,Chennai,1-3 Yrs,up to 300000,Need to have a very good knowledge of Advanced MS Excel Should be able to learn new sof...,Excel Data Analyst Management SQL,3 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-caratlane-1-to-3-years-271222500707
Data Analyst,Automotive Robotics India,work from office,Chennai,0-1 Yrs,up to 300000,Data ScienceAnalytics Engineercollaborates with Business and analytics leaders to gene...,Data science SAS Data management Analytical Quality systems Predictive modeling Data mining Forecasting,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-automotive-robotics-india-pvt-ltd-0-to-1-years-081022500099
